mol     nconf  minRMSD refAtoms
1a28        4    0.177       53
1a42       15    0.483       44
1a4g       27    0.546       43
1a4q       35    1.188       55
1a6w       36    0.262       28
1a9u       28    0.800       43
1aaq       16    2.576       89
1acl       17    0.844       56
1acm       48    0.836       22
1aco       27    0.463       15
1aec       22    1.720       55
1ai5       27    0.171       19
1aoe       21    0.683       40
1apt       12    1.705       84
1apu       12    2.039       81
1aqw       31    0.997       36
1ase       21    0.136       25
1atl       53    1.244       47
1azm       31    0.177       18
1b2h       15    1.202       65
1b58       16    1.285       68
1b59       27    0.386       47
1b6h       25    1.235       62
1b7h       24    1.610       65
1b9v       33    0.770       50
1baf       45    0.527       56
1bbp       52    1.076       75
1bgo       43    1.569       65
1bju       26    0.512       34
1bl7       27    0.218       44
1blh       26    0.275       26
1bma       26    1.320       73
1bmq       17    1.577       71
1bto        7    0.387       26
1byb        1    0.000       87
1byg        2    0.284       62
1c12       37    0.333       50
1c5c       27    0.242       32
1c5x       15    0.251       21
1c83       25    0.298       24
1cbs       38    0.455       49
1cbx       33    0.672       25
1cdg       23    0.252       45
1cil       24    0.342       35
1ckp       20    0.356       28
1cle       10    1.753      123
1com       50    0.675       24
1cps       38    0.480       31
1cqp       33    0.787       65
1cvu       33    1.231       53
1cx2       37    0.366       37
1d0l       36    0.996       62
1d3h       29    0.231       28
1d4p       18    0.599       52
1dam       10    0.539       32
1dbb        5    0.224       53
1dd7       34    1.368       60
1dg5       41    0.332       39
1dhf       46    1.207       49
1did       11    0.352       24
1dmp       21    2.951       76
1dog        5    0.056       24
1dr1       22    0.160       28
1dwb       11    0.143       18
1dwc       10    2.267       71
1dwd       14    1.065       69
1dy9        8    2.225       68
1dyr       22    0.421       39
1eap       34    1.128       43
1ebg       12    0.241       12
1ecv       20    0.680       20
1eed        9    2.542      101
1ei1       44    1.087       44
1ejn       23    0.351       53
1eoc        9    0.090       14
1epb       44    0.553       49
1epo       13    1.683       95
1eta       11    0.641       35
1etr       26    0.853       71
1ets       42    2.136       69
1ett       25    1.497       59
1f0r       58    1.171       51
1f0s       61    0.982       46
1f0u       22    1.109       66
1f3d       18    0.284       33
1fax       59    1.135       62
1fcy       32    0.332       54
1fcz       10    0.451       52
1fen       34    0.343       50
1fgi       18    0.210       37
1fkg       16    1.712       68
1fkh       25    1.725       74
1fl3       33    0.711       41
1flr       17    0.353       36
1frb       27    0.312       40
1frp       29    0.502       29
1ftm       30    0.339       22
1g9v       29    0.496       47
1gkc       25    0.995       50
1glp       25    1.353       38
1glq       28    1.334       51
1gm8       33    0.766       41
1gr2       12    0.529       29
1hak       19    0.471       62
1hdc       43    0.491       89
1hef        7    3.307      102
1hfc        9    1.073       51
1hiv        5    3.789      120
1hnn       11    0.077       27
1hos        3    2.567      106
1hp0        7    0.258       33
1hpv        8    1.746       70
1hq2        5    0.120       23
1hri       21    0.798       42
1hsb       18    0.444       39
1hsl       31    0.284       20
1htf       34    1.633       79
1hvj        7    2.371      117
1hvl       17    3.906      106
1hvr       20    1.504       84
1hvy       48    1.139       52
1hwi       20    0.941       55
1hyt       32    0.396       25
1ia1       10    0.174       32
1ia3       32    0.533       42
1ian        1    2.112       42
1ibg       25    0.300       85
1icn       14    0.910       53
1ida        6    2.292      104
1if8       36    0.857       47
1ig3       40    0.326       35
1imb       36    0.122       27
1ivb       28    0.234       24
1ivq       12    1.771       99
1j3j       11    0.342       31
1jap       15    0.914       44
1jd0       24    0.248       18
1jje       21    1.092       41
1jla       30    1.135       51
1k3u       41    0.769       33
1ke5       24    0.518       38
1kel       16    1.320       39
1kzk       16    1.340       78
1l2s       43    0.624       26
1l7f       16    0.918       51
1lah       30    0.388       22
1lcp       23    0.555       22
1ldm       11    0.064        8
1lic       15    2.946       53
1lmo       30    0.301       57
1lna       19    1.206       41
1lpm       28    0.860       52
1lpz       38    1.293       55
1lrh       15    0.157       23
1lst       27    0.630       25
1lyb       13    2.496      110
1lyl        7    0.522       25
1m2z       13    0.144       57
1mcq       43    1.095       40
1mcr       19    0.289       38
1mdr       24    0.206       21
1meh       21    0.557       42
1mld       35    0.545       18
1mmq       24    0.936       68
1mmv       23    0.664       36
1mrk        7    0.424       32
1mts       47    1.979       65
1mtv        9    1.262       65
1mtw       59    1.412       62
1mup        7    0.092       22
1mzc       27    0.712       69
1n1m       25    0.203       31
1n2j       33    0.113       21
1n2v       14    0.180       27
1n46       54    0.883       47
1nav       40    0.632       38
1nco       29    1.374       82
1ngp       23    0.278       20
1nis       36    0.373       18
1of1       11    0.261       34
1of6       21    0.363       24
1okl       12    0.186       30
1okm       41    0.313       35
1opk       60    0.422       45
1oq5       24    0.430       39
1owe       36    0.319       38
1oyt       30    0.481       54
1p2y       12    0.313       27
1p62       12    0.331       29
1pbd        6    0.116       16
1pdz       24    0.223       12
1pgp       38    0.599       27
1phd        6    0.052       19
1phg       57    0.358       31
1pmn       32    0.603       64
1poc       24    1.981       75
1ppc       21    2.138       69
1pph       48    0.766       59
1ppi        1    0.000      109
1pso        6    3.373      110
1ptv       30    0.317       27
1q1g       22    0.448       37
1q4g       37    0.261       30
1qbr       32    2.805       92
1qbu       45    1.870       79
1qcf       14    0.288       40
1qft        8    0.935       18
1qpe       30    0.974       37
1qpq       10    0.446       15
1r1h       30    1.551       55
1r55       31    0.654       51
1r58       47    0.988       45
1r9o       39    0.221       30
1rds       34    1.636       63
1rne        9   10.234      114
1rnt       50    0.560       36
1rob       31    0.456       33
1rt2       42    1.298       51
1s19       44    0.809       70
1s3v       20    0.707       55
1sg0       18    0.141       29
1sj0       36    0.982       63
1slt       19    0.430       51
1sme       14    2.982      110
1snc       33    0.749       37
1sq5       25    0.550       31
1srj        9    0.125       33
1stp       15    0.466       31
1t40       26    0.696       37
1t46       51    1.327       69
1t9b       41    0.492       35
1tdb       36    0.447       32
1tlp       10    1.833       69
1tmn       18    1.846       67
1tng        4    0.110       24
1tnh        9    0.027       18
1tni        7    0.073       27
1tnl        6    0.214       22
1tow       27    0.155       33
1tpp       42    0.431       25
1trk       33    1.581       44
1tt1       32    0.377       29
1tyl        3    0.138       20
1tz8       24    0.374       40
1u1c       35    0.372       36
1ukz       30    0.570       35
1uml       54    1.180       60
1unl       39    0.715       52
1uou       22    0.308       27
1uvs       28    1.607       68
1uvt       24    0.329       49
1v0p       37    0.989       54
1v48        9    0.140       34
1v4s       37    0.531       35
1vcj       28    0.745       52
1w2g       17    0.179       31
1wap       18    0.536       27
1x8x       29    0.367       24
1xid       10    0.128       19
1xie        5    0.069       23
1xm6       62    0.417       38
1xoq       43    0.761       40
1xoz       11    0.194       48
1y6b       66    1.406       59
1ydr       18    0.190       38
1ydt       28    0.934       48
1yee       21    0.857       39
1ygc       33    1.209       67
1yqy       38    0.325       41
1yv3        6    0.253       38
1yvf       34    1.030       43
1ywr       43    0.724       65
1z95       29    0.695       43
25c8       23    0.393       52
2aad       55    0.569       36
2ack       13    0.179       28
2ada        9    0.304       33
2ak3       26    0.768       35
2bm2       63    1.003       60
2br1       38    0.552       50
2bsm       20    0.322       45
2cgr       43    1.278       49
2cht        6    0.337       26
2cmd       44    0.708       18
2ctc       32    0.329       21
2dbl       16    0.307       67
2fox       39    1.320       52
2gbp        4    0.084       24
2h4n       30    0.164       18
2ifb        6    1.609       49
2izg       14    0.360       31
2lgs       25    0.388       18
2mcp       13    0.259       25
2pcp        8    0.156       44
2phh        2    0.043       15
2pk4       27    0.224       22
2plv       14    0.864       59
2qwk       21    0.242       44
2r07       15    0.875       46
2sim       32    0.582       36
2tmn       29    0.699       26
2tsc       34    1.472       56
2yhx       31    0.254       40
2ypi       22    0.127       11
3cla       52    0.250       32
3cpa       33    0.415       30
3erd       26    0.500       40
3ert       39    0.814       59
3gpb       21    0.154       27
3hvt        3    0.217       34
3std       32    0.865       48
3tpi       34    0.595       38
4aah       15    0.241       27
4cox       36    0.305       40
4cts       34    0.402       11
4dfr       42    1.254       54
4est        4    2.003       73
4fbp       17    0.536       35
4lbd       37    0.551       54
4phv       17    1.800       88
5abp        7    0.114       24
5er1       17    2.335       86
5p2p       11    1.504       69
5std       24    1.411       47
6rnt       31    0.286       36
6std       27    0.340       37
7std       40    0.354       38
7tim       19    0.187       14
8gch       33    0.685       44

[NEW v1 3-obj] molecules: 329, evaluated: 329
[NEW v1 3-obj] mean min-RMSD: 0.814 A   median: 0.545 A
[NEW v1 3-obj] min-RMSD <= 1.0 A: 238/329 (72.3%)
[NEW v1 3-obj] min-RMSD <= 2.0 A: 306/329 (93.0%)
[NEW v1 3-obj] mean conformers/mol: 25.2   total conformers: 8288
