mol     nconf  minRMSD refAtoms
1a28        3    0.169       53
1a42       22    0.824       44
1a4g       15    0.872       43
1a4q       12    0.762       55
1a6w       55    0.262       28
1a9u        4    0.866       43
1aaq       13    1.591       89
1acl       15    1.241       56
1acm       32    0.925       22
1aco       26    0.472       15
1aec       20    1.227       55
1ai5       36    0.195       19
1aoe       12    0.702       40
1apt       13    3.496       84
1apu       11    2.138       81
1aqw       32    0.820       36
1ase       32    0.262       25
1atl       22    0.590       47
1azm       35    0.204       18
1b2h        5    2.384       65
1b58       17    2.299       68
1b59       10    0.156       47
1b6h       11    1.213       62
1b7h       16    1.324       65
1b9v       18    0.833       50
1baf       10    1.470       56
1bbp       44    0.924       75
1bgo       35    1.894       65
1bju        3    0.502       34
1bl7       14    0.189       44
1blh       42    0.788       26
1bma       28    1.837       73
1bmq       11    1.648       71
1bto       13    0.439       26
1byb        1    0.000       87
1byg        3    0.164       62
1c12       41    0.593       50
1c5c       16    0.905       32
1c5x       12    0.193       21
1c83       24    0.322       24
1cbs       32    0.370       49
1cbx       14    1.060       25
1cdg       13    0.764       45
1cil       23    0.337       35
1ckp       37    0.348       28
1cle        8    1.943      123
1com       21    0.355       24
1cps       15    0.834       31
1cqp       27    0.470       65
1cvu       29    1.379       53
1cx2       32    0.270       37
1d0l        9    2.279       62
1d3h       40    0.126       28
1d4p       36    0.399       52
1dam       25    0.562       32
1dbb        4    0.213       53
1dd7       36    1.405       60
1dg5       30    0.469       39
1dhf       32    1.682       49
1did       10    0.320       24
1dmp        4    2.293       76
1dog        5    0.061       24
1dr1       23    0.118       28
1dwb       10    0.145       18
1dwc       12    1.906       71
1dwd       23    2.002       69
1dy9        9    3.522       68
1dyr       27    0.576       39
1eap       34    0.943       43
1ebg       12    0.211       12
1ecv       19    0.660       20
1eed       25    2.943      101
1ei1       29    1.266       44
1ejn       50    0.686       53
1eoc       10    0.088       14
1epb       54    0.590       49
1epo       13    2.887       95
1eta       26    0.656       35
1etr       12    2.354       71
1ets       31    1.906       69
1ett       23    1.289       59
1f0r       50    1.537       51
1f0s       49    1.123       46
1f0u        1   11.101       66
1f3d       39    0.324       33
1fax       31    2.425       62
1fcy       51    0.555       54
1fcz       62    0.471       52
1fen       25    0.385       50
1fgi       23    0.401       37
1fkg       21    1.290       68
1fkh       26    1.874       74
1fl3       50    0.759       41
1flr       16    0.302       36
1frb       27    0.890       40
1frp       23    0.559       29
1ftm       10    0.291       22
1g9v       64    0.726       47
1gkc        5    1.239       50
1glp       20    1.381       38
1glq        6    2.538       51
1gm8        6    1.080       41
1gr2        4    0.591       29
1hak       40    0.913       62
1hdc       49    0.495       89
1hef        5    2.548      102
1hfc       16    1.210       51
1hiv        6    4.125      120
1hnn        8    0.077       27
1hos       12   10.997      106
1hp0       11    0.308       33
1hpv        5    2.367       70
1hq2        4    0.160       23
1hri       46    0.721       42
1hsb       25    0.797       39
1hsl        7    0.130       20
1htf       13    1.417       79
1hvj        6    3.317      117
1hvl       10   11.057      106
1hvr        5    2.994       84
1hvy       65    0.697       52
1hwi       21    1.180       55
1hyt       12    0.731       25
1ia1       23    0.225       32
1ia3       53    0.473       42
1ian        2    1.316       42
1ibg       13    0.439       85
1icn       37    1.328       53
1ida       16    3.688      104
1if8       45    1.085       47
1ig3       38    0.447       35
1imb       21    0.173       27
1ivb       22    0.206       24
1ivq        4    1.883       99
1j3j       11    0.394       31
1jap       16    1.077       44
1jd0       30    0.220       18
1jje        9    0.929       41
1jla       16    1.646       51
1k3u       24    1.184       33
1ke5       42    0.480       38
1kel       22    1.189       39
1kzk        8    2.564       78
1l2s       21    0.489       26
1l7f       10    1.337       51
1lah        4    1.591       22
1lcp       18    0.177       22
1ldm       11    0.064        8
1lic       50    1.388       53
1lmo       17    0.535       57
1lna        9    1.309       41
1lpm       26    0.821       52
1lpz       54    1.256       55
1lrh       16    0.406       23
1lst        8    1.628       25
1lyb        4    4.505      110
1lyl       24    0.558       25
1m2z        8    0.163       57
1mcq       21    1.292       40
1mcr       15    0.421       38
1mdr       13    0.189       21
1meh       24    0.645       42
1mld       25    0.587       18
1mmq       26    0.796       68
1mmv        9    1.358       36
1mrk        4    0.958       32
1mts       38    1.090       65
1mtv        2    2.947       65
1mtw       33    2.539       62
1mup       14    0.081       22
1mzc       26    1.007       69
1n1m       15    0.166       31
1n2j       19    0.058       21
1n2v       24    0.108       27
1n46       57    0.691       47
1nav       33    0.834       38
1nco       23    1.297       82
1ngp       29    0.395       20
1nis       20    0.477       18
1of1       18    0.212       34
1of6       23    0.392       24
1okl        8    0.208       30
1okm       13    0.489       35
1opk       50    0.341       45
1oq5       31    0.439       39
1owe       59    0.291       38
1oyt       26    0.419       54
1p2y        6    0.306       27
1p62        6    0.427       29
1pbd        7    0.094       16
1pdz       18    0.379       12
1pgp       25    0.883       27
1phd       11    0.052       19
1phg       33    0.211       31
1pmn       21    0.882       64
1poc       18    2.620       75
1ppc       18    2.037       69
1pph       21    1.651       59
1ppi        1    0.000      109
1pso        5    3.395      110
1ptv       28    0.448       27
1q1g       17    0.440       37
1q4g       37    0.249       30
1qbr       27    2.998       92
1qbu       13    1.871       79
1qcf       20    0.210       40
1qft        1    3.751       18
1qpe       18    1.120       37
1qpq       16    0.444       15
1r1h        8    4.626       55
1r55        8    1.265       51
1r58       44    1.321       45
1r9o       44    0.258       30
1rds       35    1.888       63
1rne        8    3.746      114
1rnt       24    0.518       36
1rob       16    0.371       33
1rt2       22    1.148       51
1s19       33    0.739       70
1s3v       15    1.335       55
1sg0       27    0.258       29
1sj0       39    0.730       63
1slt       11    0.754       51
1sme        5    2.810      110
1snc       14    0.792       37
1sq5       35    0.493       31
1srj       24    0.281       33
1stp       25    0.682       31
1t40       48    0.899       37
1t46       80    1.403       69
1t9b       47    0.674       35
1tdb       25    0.650       32
1tlp       16    2.943       69
1tmn        5    2.291       67
1tng        4    0.110       24
1tnh        9    0.027       18
1tni       38    0.297       27
1tnl        4    0.213       22
1tow       27    0.413       33
1tpp       44    0.325       25
1trk       12    1.842       44
1tt1       11    0.166       29
1tyl        5    0.142       20
1tz8       11    0.427       40
1u1c       45    0.611       36
1ukz       28    0.539       35
1uml       29    1.375       60
1unl       30    1.190       52
1uou       18    0.267       27
1uvs       36    1.782       68
1uvt       45    0.938       49
1v0p       21    1.008       54
1v48       46    0.738       34
1v4s       44    0.553       35
1vcj       13    1.564       52
1w2g        5    0.197       31
1wap       19    0.528       27
1x8x       20    0.311       24
1xid       11    0.087       19
1xie        3    0.073       23
1xm6       29    0.466       38
1xoq       30    0.679       40
1xoz        8    0.203       48
1y6b       30    1.812       59
1ydr       13    0.466       38
1ydt       52    0.737       48
1yee       50    1.170       39
1ygc       29    1.465       67
1yqy       24    1.197       41
1yv3       10    0.202       38
1yvf       36    0.645       43
1ywr       32    1.184       65
1z95       45    0.966       43
25c8       24    0.850       52
2aad       28    0.569       36
2ack       15    0.202       28
2ada       11    0.297       33
2ak3       25    0.471       35
2bm2       80    0.863       60
2br1       34    0.711       50
2bsm       28    0.536       45
2cgr        7    1.609       49
2cht        6    0.312       26
2cmd       17    0.793       18
2ctc       17    0.278       21
2dbl       35    0.527       67
2fox       28    1.035       52
2gbp        7    0.087       24
2h4n       32    0.158       18
2ifb       42    1.702       49
2izg       36    0.356       31
2lgs       10    1.123       18
2mcp       28    0.468       25
2pcp        4    0.132       44
2phh        8    0.044       15
2pk4        4    1.862       22
2plv       44    1.496       59
2qwk       15    0.568       44
2r07       47    0.774       46
2sim       21    0.590       36
2tmn       25    0.281       26
2tsc       51    1.238       56
2yhx       28    0.233       40
2ypi       16    0.248       11
3cla       30    0.349       32
3cpa       20    0.855       30
3erd       11    0.796       40
3ert       16    1.425       59
3gpb       13    0.374       27
3hvt        2    0.295       34
3std       34    0.907       48
3tpi       17    1.008       38
4aah       35    0.261       27
4cox       23    0.313       40
4cts       42    0.558       11
4dfr       30    1.366       54
4est        8    2.124       73
4fbp       40    0.289       35
4lbd       70    0.218       54
4phv       16    1.501       88
5abp        6    0.117       24
5er1       12    2.662       86
5p2p       22    1.817       69
5std       24    1.451       47
6rnt       32    0.378       36
6std       15    0.402       37
7std       14    0.523       38
7tim       28    0.135       14
8gch        7    2.270       44

[OLD 4-obj] molecules: 329, evaluated: 329
[OLD 4-obj] mean min-RMSD: 1.044 A   median: 0.697 A
[OLD 4-obj] min-RMSD <= 1.0 A: 210/329 (63.8%)
[OLD 4-obj] min-RMSD <= 2.0 A: 290/329 (88.1%)
[OLD 4-obj] mean conformers/mol: 22.6   total conformers: 7444
