mol     nconf  minRMSD refAtoms
1a28        3    0.179       53
1a42       71    0.485       44
1a4g       85    0.481       43
1a4q       82    0.754       55
1a6w       87    0.300       28
1a9u       75    0.509       43
1aaq       49    1.240       89
1acl       22    0.919       56
1acm      100    0.689       22
1aco       52    0.403       15
1aec      100    1.205       55
1ai5       49    0.211       19
1aoe       28    0.727       40
1apt       49    1.095       84
1apu       65    1.585       81
1aqw       37    0.643       36
1ase       49    0.131       25
1atl      100    0.859       47
1azm       52    0.215       18
1b2h      100    1.259       65
1b58       81    1.700       68
1b59       39    0.155       47
1b6h       64    1.045       62
1b7h      100    1.071       65
1b9v       95    0.809       50
1baf       99    0.489       56
1bbp      100    0.855       75
1bgo       52    1.206       65
1bju       14    0.508       34
1bl7       42    0.317       44
1blh       25    0.189       26
1bma       75    1.141       73
1bmq      100    1.491       71
1bto       12    0.456       26
1byb        1    0.000       87
1byg        4    0.155       62
1c12       99    0.393       50
1c5c       56    0.321       32
1c5x       14    0.251       21
1c83       64    0.298       24
1cbs       64    0.355       49
1cbx       51    0.430       25
1cdg       29    0.222       45
1cil       37    0.266       35
1ckp       32    0.364       28
1cle       52    1.771      123
1com      100    0.279       24
1cps       89    0.325       31
1cqp       99    0.593       65
1cvu       56    1.175       53
1cx2       56    0.267       37
1d0l       88    1.294       62
1d3h       37    0.109       28
1d4p       50    0.254       52
1dam        4    0.264       32
1dbb        4    0.201       53
1dd7      100    0.874       60
1dg5       46    0.412       39
1dhf      100    0.814       49
1did       20    0.311       24
1dmp      100    1.621       76
1dog       11    0.040       24
1dr1       38    0.106       28
1dwb       10    0.143       18
1dwc       91    1.203       71
1dwd       77    0.965       69
1dy9       60    1.598       68
1dyr       68    0.453       39
1eap       75    0.886       43
1ebg       17    0.162       12
1ecv       17    0.688       20
1eed      100    2.087      101
1ei1       68    0.970       44
1ejn       43    0.462       53
1eoc       10    0.088       14
1epb       67    0.498       49
1epo       66    1.529       95
1eta       71    0.627       35
1etr       80    1.105       71
1ets      100    0.981       69
1ett       74    0.972       59
1f0r      100    1.163       51
1f0s      100    1.051       46
1f0u       10    0.744       66
1f3d       40    0.289       33
1fax      100    1.462       62
1fcy       55    0.411       54
1fcz       12    0.503       52
1fen       39    0.343       50
1fgi       25    0.249       37
1fkg       72    1.121       68
1fkh      100    1.056       74
1fl3       65    0.593       41
1flr       23    0.344       36
1frb       48    0.228       40
1frp       51    0.553       29
1ftm       42    0.326       22
1g9v       70    0.564       47
1gkc       45    0.396       50
1glp       71    0.861       38
1glq       65    1.226       51
1gm8       53    0.660       41
1gr2       20    0.456       29
1hak       95    0.718       62
1hdc       90    0.556       89
1hef       43    1.765      102
1hfc       11    1.067       51
1hiv       38    3.086      120
1hnn       12    0.107       27
1hos       74    2.160      106
1hp0       10    0.290       33
1hpv       74    1.440       70
1hq2        8    0.106       23
1hri       21    0.457       42
1hsb       37    0.435       39
1hsl       45    0.202       20
1htf      100    0.857       79
1hvj       59    2.746      117
1hvl       50    2.532      106
1hvr      100    1.521       84
1hvy      100    1.039       52
1hwi       50    0.528       55
1hyt       59    0.390       25
1ia1       28    0.174       32
1ia3       56    0.503       42
1ian       12    0.865       42
1ibg       32    0.382       85
1icn       40    0.972       53
1ida       80    1.708      104
1if8       92    0.413       47
1ig3       56    0.145       35
1imb       32    0.160       27
