mol     nconf  minRMSD refAtoms
1a28        4    0.183       53
1a42       32    0.536       44
1a4g       32    0.402       43
1a4q       34    0.764       55
1a6w       49    0.370       28
1a9u       50    0.572       43
1aaq       31    2.214       89
1acl       14    0.990       56
1acm       54    0.693       22
1aco       28    0.500       15
1aec       30    1.532       55
1ai5       35    0.423       19
1aoe       26    0.694       40
1apt       26    1.708       84
1apu       14    1.744       81
1aqw       25    0.710       36
1ase       29    0.172       25
1atl       59    1.056       47
1azm       37    0.204       18
1b2h       16    1.298       65
1b58       21    1.242       68
1b59       32    0.524       47
1b6h       29    1.373       62
1b7h       32    0.969       65
1b9v       37    0.524       50
1baf       63    0.611       56
1bbp       90    0.850       75
1bgo       34    1.200       65
1bju       21    0.517       34
1bl7       32    0.186       44
1blh       25    0.315       26
1bma       44    1.593       73
1bmq       41    1.328       71
1bto        5    0.402       26
1byb        1    0.000       87
1byg        4    0.168       62
1c12       43    0.263       50
1c5c       29    0.180       32
1c5x       11    0.242       21
1c83       25    0.327       24
1cbs       50    0.363       49
1cbx       47    0.531       25
1cdg       14    0.189       45
1cil       34    0.330       35
1ckp       25    0.336       28
1cle       20    2.508      123
1com       67    0.559       24
1cps       31    0.709       31
1cqp       23    0.993       65
1cvu       44    1.456       53
1cx2       30    0.348       37
1d0l       32    1.296       62
1d3h       33    0.057       28
1d4p       28    0.360       52
1dam        7    0.368       32
1dbb        4    0.227       53
1dd7       68    1.182       60
1dg5       30    0.412       39
1dhf       68    1.159       49
1did       14    0.371       24
1dmp       40    1.862       76
1dog        4    0.063       24
1dr1       31    0.125       28
1dwb        9    0.164       18
1dwc       30    1.556       71
1dwd       39    1.027       69
1dy9       30    1.519       68
1dyr       34    0.354       39
1eap       36    1.033       43
1ebg       13    0.178       12
1ecv       27    0.516       20
1eed       39    2.513      101
1ei1       33    1.145       44
1ejn       20    0.678       53
1eoc        9    0.088       14
1epb       50    0.624       49
1epo       22    2.074       95
1eta       28    0.594       35
1etr       38    1.510       71
1ets       32    1.902       69
1ett       32    1.170       59
1f0r       64    0.897       51
1f0s       76    1.182       46
1f0u       37    0.696       66
1f3d       17    0.267       33
1fax       80    1.029       62
1fcy       36    0.447       54
1fcz       23    0.442       52
1fen       26    0.247       50
1fgi       21    0.207       37
1fkg       28    1.444       68
1fkh       29    1.452       74
1fl3       40    0.566       41
1flr       26    0.375       36
1frb       37    0.381       40
1frp       46    0.756       29
1ftm       28    0.292       22
1g9v       32    0.864       47
1gkc       21    0.732       50
1glp       24    0.854       38
1glq       36    1.158       51
1gm8       37    0.818       41
1gr2       14    0.514       29
1hak       44    0.645       62
1hdc       55    0.337       89
1hef       33    2.385      102
1hfc       29    0.873       51
1hiv       18    2.897      120
1hnn       12    0.092       27
1hos       24    2.879      106
1hp0        9    0.301       33
1hpv       24    2.032       70
1hq2        5    0.117       23
1hri       19    0.526       42
1hsb       30    0.454       39
1hsl       27    0.196       20
1htf       21    1.596       79
1hvj       15    3.601      117
1hvl       13    3.295      106
1hvr       40    1.540       84
1hvy       57    1.398       52
1hwi       46    0.861       55
1hyt       32    0.500       25
1ia1       23    0.178       32
1ia3       50    0.564       42
1ian       10    1.066       42
1ibg       32    0.507       85
1icn       20    0.984       53
1ida       31    2.143      104
1if8       66    0.648       47
1ig3       38    0.462       35
1imb       47    0.184       27
1ivb       27    0.227       24
1ivq       33    2.427       99
1j3j       13    0.336       31
1jap       38    0.562       44
1jd0       31    0.136       18
1jje       31    0.892       41
1jla       28    0.815       51
1k3u       53    0.703       33
1ke5       33    0.294       38
1kel       13    1.130       39
1kzk       31    1.711       78
1l2s       61    0.543       26
1l7f       31    0.790       51
1lah       22    0.440       22
1lcp       19    0.147       22
1ldm       12    0.064        8
1lic        6    1.749       53
1lmo       53    0.497       57
1lna       40    0.618       41
1lpm       37    0.766       52
